dataset,shots,model,hmm,flip_prob,nll,prob,acc,nll_avg
creak,1,meta-llama/Llama-3.1-8B-Instruct,0,0.1,13.640306267742803,1.1914896014254994e-06,0.0,16.70375
creak,2,meta-llama/Llama-3.1-8B-Instruct,0,0.1,3.288380170610204,0.037314243176955995,0.02,6.990390625
creak,3,meta-llama/Llama-3.1-8B-Instruct,0,0.1,0.7883619851270698,0.4545888089934377,0.56,2.43455078125
creak,4,meta-llama/Llama-3.1-8B-Instruct,0,0.1,0.43321224800891456,0.6484228507394676,0.74,1.017576904296875
creak,5,meta-llama/Llama-3.1-8B-Instruct,0,0.1,0.5416074873017267,0.5818122444701598,0.7,2.227149658203125
creak,6,meta-llama/Llama-3.1-8B-Instruct,0,0.1,0.39221861640031397,0.6755564101053855,0.74,1.464722900390625
creak,7,meta-llama/Llama-3.1-8B-Instruct,0,0.1,0.3246290842303836,0.7227954001397806,0.78,1.1909423828125
creak,8,meta-llama/Llama-3.1-8B-Instruct,0,0.1,0.5059661552501353,0.6029227769291048,0.64,2.1327264404296873
creak,9,meta-llama/Llama-3.1-8B-Instruct,0,0.1,0.3008921341027886,0.7401576062052476,0.84,0.8143768310546875
creak,10,meta-llama/Llama-3.1-8B-Instruct,0,0.1,0.22901428653920752,0.7953171710939821,0.82,0.717723388671875
creak,11,meta-llama/Llama-3.1-8B-Instruct,0,0.1,0.3557512911327956,0.7006468556531874,0.76,2.1579376220703126
creak,12,meta-llama/Llama-3.1-8B-Instruct,0,0.1,0.32383491443374474,0.72336965041165,0.78,1.728660888671875
creak,13,meta-llama/Llama-3.1-8B-Instruct,0,0.1,0.23815970652149826,0.7880768200352223,0.82,1.229697265625
creak,14,meta-llama/Llama-3.1-8B-Instruct,0,0.1,0.34176114259141477,0.7105178969058596,0.76,1.666822509765625
creak,15,meta-llama/Llama-3.1-8B-Instruct,0,0.1,0.35352222356959956,0.7022103867932549,0.74,2.282403564453125
creak,16,meta-llama/Llama-3.1-8B-Instruct,0,0.1,0.3143341764203061,0.7302749467110329,0.8,1.2281707763671874
creak,17,meta-llama/Llama-3.1-8B-Instruct,0,0.1,0.3006738593232019,0.7403191815768743,0.78,1.2559381103515626
creak,18,meta-llama/Llama-3.1-8B-Instruct,0,0.1,0.3685964736595291,0.6917044751170812,0.74,2.3923101806640625
creak,19,meta-llama/Llama-3.1-8B-Instruct,0,0.1,0.17341636561092175,0.840787466967575,0.86,0.58781005859375
creak,20,meta-llama/Llama-3.1-8B-Instruct,0,0.1,0.1785787477462184,0.8364581850869175,0.86,0.734342041015625
creak,21,meta-llama/Llama-3.1-8B-Instruct,0,0.1,0.3776236441857302,0.685488439684291,0.7,1.8895623779296875
creak,22,meta-llama/Llama-3.1-8B-Instruct,0,0.1,0.24515353831526396,0.7825843723309889,0.84,1.656923828125
creak,23,meta-llama/Llama-3.1-8B-Instruct,0,0.1,0.10021730470871229,0.90464081396667,0.94,0.6218682861328125
creak,24,meta-llama/Llama-3.1-8B-Instruct,0,0.1,0.23541898697935532,0.7902396801191842,0.84,1.9285693359375
creak,25,meta-llama/Llama-3.1-8B-Instruct,0,0.1,0.23090354455317785,0.7938160302225566,0.86,1.2049432373046876
creak,26,meta-llama/Llama-3.1-8B-Instruct,0,0.1,0.18520812000779027,0.8309313324200468,0.86,1.1731451416015626
creak,27,meta-llama/Llama-3.1-8B-Instruct,0,0.1,0.2507416667927627,0.7782233865368086,0.84,1.29894287109375
creak,28,meta-llama/Llama-3.1-8B-Instruct,0,0.1,0.3067925993440508,0.7358031911475419,0.76,1.2543927001953126
creak,29,meta-llama/Llama-3.1-8B-Instruct,0,0.1,0.2097734695105866,0.810767888815704,0.84,1.050777587890625
creak,30,meta-llama/Llama-3.1-8B-Instruct,0,0.1,0.18070408667346557,0.8346823157757026,0.86,1.1899365234375
creak,31,meta-llama/Llama-3.1-8B-Instruct,0,0.1,0.21586807778365288,0.8058416032718958,0.84,1.1262127685546874
creak,32,meta-llama/Llama-3.1-8B-Instruct,0,0.1,0.258239582116366,0.7724101542776799,0.78,1.933262939453125
creak,33,meta-llama/Llama-3.1-8B-Instruct,0,0.1,0.3002506258439667,0.7406325757546136,0.76,1.28278076171875
creak,34,meta-llama/Llama-3.1-8B-Instruct,0,0.1,0.24208778656364335,0.7849872631926569,0.8,1.486065673828125
creak,35,meta-llama/Llama-3.1-8B-Instruct,0,0.1,0.13674588146549693,0.8721918380847642,0.9,0.7401873779296875
creak,36,meta-llama/Llama-3.1-8B-Instruct,0,0.1,0.3301116851476399,0.7188434448122226,0.74,2.143973388671875
creak,37,meta-llama/Llama-3.1-8B-Instruct,0,0.1,0.29763538296258363,0.7425720448119836,0.78,1.693109130859375
creak,38,meta-llama/Llama-3.1-8B-Instruct,0,0.1,0.14904565449131443,0.86152978129717,0.92,0.448751220703125
creak,39,meta-llama/Llama-3.1-8B-Instruct,0,0.1,0.3380340454243791,0.713171007275365,0.72,1.645760498046875
creak,40,meta-llama/Llama-3.1-8B-Instruct,0,0.1,0.17811233437153962,0.8368484113681057,0.86,0.690313720703125
creak,41,meta-llama/Llama-3.1-8B-Instruct,0,0.1,0.388210638454074,0.6782694585859264,0.68,2.0385723876953126
creak,42,meta-llama/Llama-3.1-8B-Instruct,0,0.1,0.14402393017824874,0.8658670274589754,0.92,0.4286328125
creak,43,meta-llama/Llama-3.1-8B-Instruct,0,0.1,0.1405686182159479,0.8688640429866931,0.9,0.557335205078125
creak,44,meta-llama/Llama-3.1-8B-Instruct,0,0.1,0.17059819796415726,0.8431602889394183,0.86,0.939456787109375
creak,45,meta-llama/Llama-3.1-8B-Instruct,0,0.1,0.16635756712268612,0.8467434124474343,0.86,0.5439630126953126
