dataset,shots,model,hmm,flip_prob,nll,prob,acc,nll_avg
logiqa,1,Qwen/Qwen2-1.5B-Instruct,0,0.0,1.0193737411246364,0.3608208366822367,0.46,1.939677734375
logiqa,2,Qwen/Qwen2-1.5B-Instruct,0,0.0,1.2269945610455333,0.29317236659362167,0.26,1.8269287109375
logiqa,3,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.9572854245116504,0.38393368964898095,0.48,1.440526123046875
logiqa,4,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.8876819418328314,0.41160878083442287,0.48,1.4279681396484376
logiqa,5,Qwen/Qwen2-1.5B-Instruct,0,0.0,1.0590852076976291,0.34677289044757215,0.42,1.6492059326171875
logiqa,6,Qwen/Qwen2-1.5B-Instruct,0,0.0,1.207551819890617,0.2989282144432635,0.3,1.78474609375
logiqa,7,Qwen/Qwen2-1.5B-Instruct,0,0.0,1.1156048790651256,0.3277169897887592,0.36,1.65278076171875
logiqa,8,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.8976632059292056,0.4075208402344799,0.46,1.19404541015625
logiqa,9,Qwen/Qwen2-1.5B-Instruct,0,0.0,1.004195429696451,0.36633926195518685,0.4,1.5509857177734374
logiqa,10,Qwen/Qwen2-1.5B-Instruct,0,0.0,1.330476905943043,0.2643511605935885,0.28,1.7520306396484375
logiqa,11,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.7750879366031216,0.460663270054643,0.5,1.2010791015625
logiqa,12,Qwen/Qwen2-1.5B-Instruct,0,0.0,1.078133853921329,0.3402298521923683,0.42,1.52028076171875
logiqa,13,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.902446072167542,0.40557637632845184,0.42,1.393388671875
logiqa,14,Qwen/Qwen2-1.5B-Instruct,0,0.0,1.1080719810275599,0.33019496992622804,0.38,1.523603515625
logiqa,15,Qwen/Qwen2-1.5B-Instruct,0,0.0,1.1594261714636862,0.3136661198210471,0.4,1.7168841552734375
logiqa,16,Qwen/Qwen2-1.5B-Instruct,0,0.0,1.1431772598054832,0.3188044862682432,0.32,1.6130755615234376
logiqa,17,Qwen/Qwen2-1.5B-Instruct,0,0.0,1.120345759705923,0.32616699971829227,0.34,1.56768798828125
logiqa,18,Qwen/Qwen2-1.5B-Instruct,0,0.0,1.2464279523666209,0.28753003565253754,0.26,1.68174560546875
