dataset,shots,model,hmm,flip_prob,nll,prob,acc,nll_avg
creak,1,Qwen/Qwen2-1.5B-Instruct,0,0.0,10.170102407917346,3.829840115622357e-05,0.0,11.54375
creak,2,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.8721790178900238,0.41803964022063816,0.72,1.167421875
creak,3,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.3332310964001645,0.7166045702823619,0.8,0.42805419921875
creak,4,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.2327014503864256,0.7923901059741602,0.88,0.28907470703125
creak,5,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.25017894115091244,0.7786614360307823,0.8,0.4758038330078125
creak,6,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.3784753784798181,0.6849048342456756,0.7,0.56032958984375
creak,7,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.24387988735749827,0.783581746684914,0.78,0.3977972412109375
creak,8,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.31076786167452997,0.7328839865853699,0.8,0.45730224609375
creak,9,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.3337657754825174,0.7162215192221337,0.8,0.5146002197265624
creak,10,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.21201556184950812,0.8089521086775724,0.92,0.283704833984375
creak,11,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.26893238439130707,0.7641949254063796,0.86,0.3681829833984375
creak,12,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.16209235692725307,0.8503626640307081,0.96,0.2293756103515625
creak,13,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.1776965387483516,0.837196441624539,0.88,0.2196649169921875
creak,14,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.2731898623134863,0.7609482985084507,0.82,0.507410888671875
creak,15,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.21175527284238338,0.8091626974245305,0.86,0.38286376953125
creak,16,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.30016608607486533,0.7406951913082718,0.78,0.4560540771484375
creak,17,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.2549397434741836,0.7749631931438765,0.88,0.30057373046875
creak,18,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.17700920882397525,0.8377720695919509,0.88,0.2824444580078125
creak,19,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.2660055866828632,0.7664348456606405,0.78,0.4185443115234375
creak,20,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.28438087137583534,0.7524799920309087,0.78,0.4009912109375
creak,21,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.2587378566976337,0.77202537780162,0.82,0.3991064453125
creak,22,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.21340175955408885,0.8078315179809722,0.86,0.4039129638671875
creak,23,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.14401905186449127,0.8658712514403105,0.94,0.1834722900390625
creak,24,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.21567182978345106,0.8059997635938332,0.88,0.3607025146484375
creak,25,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.21137564699932895,0.8094699348096444,0.86,0.290599365234375
creak,26,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.26569079131343737,0.7666761537803677,0.8,0.421240234375
creak,27,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.16984937570681716,0.843791902583945,0.96,0.2842120361328125
creak,28,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.27991732780181455,0.7558462263418303,0.82,0.4267608642578125
creak,29,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.1926899814489374,0.8247376184713032,0.84,0.31041748046875
creak,30,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.15183815192847927,0.8591273175889397,0.9,0.235159912109375
creak,31,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.15920856585236096,0.8528184716077217,0.92,0.20974609375
creak,32,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.23584931228962788,0.7898996931413946,0.82,0.3519976806640625
creak,33,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.2698491410026657,0.7634946656890533,0.82,0.443720703125
creak,34,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.2594016500830307,0.7715130825104002,0.82,0.33377685546875
creak,35,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.15882067785013979,0.8531493338255249,0.9,0.26798095703125
creak,36,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.20368705084147984,0.8157176093863673,0.86,0.3124530029296875
creak,37,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.288501847934552,0.7493854203310122,0.78,0.4666802978515625
creak,38,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.205811264767449,0.8139866897535117,0.88,0.2868121337890625
creak,39,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.2455672675991901,0.7822606612280115,0.8,0.4687066650390625
creak,40,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.14318361590158862,0.8665949336759986,0.96,0.2199658203125
creak,41,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.20406493945093968,0.8154094172280649,0.86,0.32277587890625
creak,42,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.2050487976025001,0.8146075645453963,0.86,0.439052734375
creak,43,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.18740158771317908,0.8291107088464578,0.88,0.29190673828125
creak,44,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.19298145234525493,0.8244972664879262,0.9,0.245721435546875
creak,45,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.2848382939041909,0.7521358694411296,0.84,0.37917724609375
creak,46,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.24407605231263935,0.7834280504821234,0.82,0.4303460693359375
creak,47,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.17695623445587136,0.8378164512134865,0.9,0.2166571044921875
creak,48,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.3168332819640031,0.7284521911212565,0.72,0.5228271484375
creak,49,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.25820609015659585,0.7724360242407085,0.82,0.4012860107421875
creak,50,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.25627450252333966,0.7739294940321548,0.8,0.415968017578125
creak,51,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.22267322527743993,0.8003763493259217,0.86,0.362080078125
creak,52,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.1630843269083605,0.8495195480369492,0.9,0.312972412109375
creak,53,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.13635015381216847,0.8725370568158958,0.94,0.195244140625
creak,54,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.2851753808691499,0.751882376970567,0.78,0.4554443359375
creak,55,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.2360858754618717,0.7897128540647244,0.82,0.358138427734375
creak,56,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.2230972165828766,0.8000370686438427,0.88,0.36822021484375
creak,57,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.18383320801633884,0.8320745756223605,0.86,0.29298583984375
creak,58,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.21128449349017359,0.8095437241977878,0.9,0.3369415283203125
creak,59,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.20517183429521454,0.8145073440903176,0.88,0.2800958251953125
creak,60,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.2378843963091368,0.7882938155010666,0.86,0.4101690673828125
creak,61,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.23937558441576262,0.7871191971449868,0.82,0.4139471435546875
creak,62,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.27246384688633435,0.7615009593082906,0.8,0.4702972412109375
creak,63,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.13657422133332264,0.8723415715022326,0.98,0.21449462890625
creak,64,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.2706268810647049,0.762901096151718,0.82,0.4459136962890625
creak,65,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.2822894727791599,0.7540553744323202,0.8,0.5252252197265626
creak,66,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.22927861014641374,0.795106977771198,0.82,0.3497430419921875
creak,67,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.20247209165539437,0.8167092752839535,0.86,0.284661865234375
creak,68,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.21786846637412696,0.804231218157989,0.84,0.375802001953125
creak,69,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.19130999561745182,0.82587653035988,0.86,0.238720703125
creak,70,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.17974467570612046,0.8354835034163558,0.92,0.22252685546875
creak,71,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.23035456325732243,0.7942519400177133,0.82,0.352830810546875
creak,72,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.3265660522543694,0.7213967235949988,0.72,0.4846600341796875
creak,73,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.2852852331151431,0.7517997855392443,0.78,0.3991497802734375
creak,74,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.20422019544475262,0.8152828298556072,0.84,0.27354736328125
creak,75,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.21267926252219374,0.8084153847505905,0.86,0.312415771484375
creak,76,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.1669098228941513,0.8462759226098221,0.9,0.316571044921875
creak,77,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.164422897937918,0.8483831665142746,0.92,0.206983642578125
creak,78,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.23808739644998628,0.7881338079868125,0.84,0.3349896240234375
creak,79,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.19892274972597607,0.8196132062321998,0.9,0.292440185546875
creak,80,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.30447431944068437,0.7375109676855667,0.8,0.47443359375
creak,81,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.21844818098219107,0.8037651286850529,0.88,0.3634869384765625
creak,82,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.22574172644629148,0.7979241577629239,0.84,0.381563720703125
creak,83,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.1625834297293885,0.8499451765712094,0.9,0.2275469970703125
creak,84,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.3069919619011471,0.7356565141632703,0.8,0.401514892578125
creak,85,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.21524371878900947,0.8063448948261113,0.86,0.3432183837890625
creak,86,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.24137985926964403,0.78554317385066,0.84,0.30705078125
creak,87,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.24469139471156945,0.7829461222767863,0.82,0.4109136962890625
creak,88,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.20535507134968126,0.814358109836785,0.9,0.2889361572265625
creak,89,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.18067757250224165,0.8347044469789346,0.9,0.239576416015625
creak,90,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.26252604795947826,0.7691063304571202,0.84,0.5181072998046875
creak,91,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.2280512965667948,0.7960834224416001,0.88,0.3419512939453125
creak,92,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.2280534118002108,0.796081738541124,0.84,0.37245849609375
creak,93,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.16314811771328877,0.8494653582296017,0.94,0.2474359130859375
creak,94,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.16739197504061679,0.8458679872086011,0.88,0.2549249267578125
creak,95,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.1596105177168905,0.8524757485166609,0.92,0.2228143310546875
creak,96,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.18667073675954687,0.8297168866845283,0.86,0.2914990234375
creak,97,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.20866854736121165,0.8116642193105763,0.88,0.2657049560546875
creak,98,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.2859056539937909,0.7513334979179777,0.8,0.449183349609375
creak,99,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.20729285136149608,0.8127815909358092,0.88,0.2859539794921875
creak,100,Qwen/Qwen2-1.5B-Instruct,0,0.0,0.17562353622300075,0.8389337520645551,0.86,0.2438323974609375
