dataset,shots,model,hmm,flip_prob,nll,prob,acc,nll_avg
creak,1,meta-llama/Llama-3.1-8B-Instruct,0,0.25,13.277416285573906,1.712739734645649e-06,0.0,16.34875
creak,2,meta-llama/Llama-3.1-8B-Instruct,0,0.25,3.856565349981285,0.021140485138098783,0.0,7.545625
creak,3,meta-llama/Llama-3.1-8B-Instruct,0,0.25,1.215040344039031,0.29669804405511324,0.38,4.420078125
creak,4,meta-llama/Llama-3.1-8B-Instruct,0,0.25,0.8886163832722783,0.41122433618125265,0.48,2.5094110107421876
creak,5,meta-llama/Llama-3.1-8B-Instruct,0,0.25,0.9862171199143345,0.37298498310744355,0.48,3.3559808349609375
creak,6,meta-llama/Llama-3.1-8B-Instruct,0,0.25,0.778604924998729,0.45904596836228173,0.54,2.5968719482421876
creak,7,meta-llama/Llama-3.1-8B-Instruct,0,0.25,0.7697290756132633,0.463138526836931,0.52,3.086524658203125
creak,8,meta-llama/Llama-3.1-8B-Instruct,0,0.25,0.6844899142714989,0.504347424396936,0.58,2.438673095703125
creak,9,meta-llama/Llama-3.1-8B-Instruct,0,0.25,0.6647365020305245,0.5144090555918148,0.64,1.9790496826171875
creak,10,meta-llama/Llama-3.1-8B-Instruct,0,0.25,0.4945449222981284,0.6098483725532667,0.66,1.8209893798828125
creak,11,meta-llama/Llama-3.1-8B-Instruct,0,0.25,0.62460797416792,0.5354713059618874,0.56,3.0247259521484375
creak,12,meta-llama/Llama-3.1-8B-Instruct,0,0.25,0.7288397554480401,0.4824684468610701,0.56,3.326444091796875
creak,13,meta-llama/Llama-3.1-8B-Instruct,0,0.25,0.5207852253232312,0.5940538986171685,0.7,2.48685791015625
creak,14,meta-llama/Llama-3.1-8B-Instruct,0,0.25,0.5458430689783331,0.5793531427277844,0.64,2.1967230224609375
creak,15,meta-llama/Llama-3.1-8B-Instruct,0,0.25,0.6120313908265357,0.542248231426647,0.62,2.9769097900390626
creak,16,meta-llama/Llama-3.1-8B-Instruct,0,0.25,0.6340396594366308,0.5304446513087742,0.64,2.508836669921875
creak,17,meta-llama/Llama-3.1-8B-Instruct,0,0.25,0.5832915910772797,0.5580584399021602,0.6,2.264146728515625
creak,18,meta-llama/Llama-3.1-8B-Instruct,0,0.25,0.6244622909140143,0.5355493208467063,0.6,3.0000537109375
creak,19,meta-llama/Llama-3.1-8B-Instruct,0,0.25,0.4363706292903566,0.6463781148727261,0.7,1.7646917724609374
creak,20,meta-llama/Llama-3.1-8B-Instruct,0,0.25,0.282811060086354,0.7536621712738975,0.82,0.9360418701171875
creak,21,meta-llama/Llama-3.1-8B-Instruct,0,0.25,0.609496998174937,0.543624244301649,0.6,2.543990478515625
