hmm,rmse,nrmse,log_rmse,log_nrmse,rmse_prob,nrmse_prob,law,priors,P,K,flip_prob,gammas,betas,C,alpha,n_c,L,x_0
0,0.04966713860630989,0.4242571294307709,inf,-0.0,0.04431368410587311,0.04976940155029297,bayesian_original,1.0,[0.8691868185997009],1.31326162815094,0.0,,,,,,,
0,0.049666017293930054,0.42424753308296204,inf,-0.0,0.044312696903944016,0.04976829141378403,bayesian_sampling,1.0,,1.31326162815094,0.0,0.8691892027854919,0.43459460139274597,,,,,
0,0.04965045303106308,0.4241145849227905,inf,-0.0,0.04429878666996956,0.049752671271562576,bayesian_scoring,1.0,,1.0820027589797974,0.0,0.8692179918289185,0.43460899591445923,,,,,
0,0.04398130252957344,0.37568867206573486,inf,-0.0,0.03898236155509949,0.04378170892596245,power,,,-2.131678819656372,0.0,,,10.056900024414062,2.6569302082061768,,,
0,0.04398198053240776,0.3756944537162781,inf,-0.0,0.03898333013057709,0.0437827967107296,bounded,,,0.11865897476673126,0.0,,,14.520956993103027,3.2653541564941406,0.5812962651252747,,
0,0.04417332634329796,0.37732893228530884,inf,-0.0,0.039207812398672104,0.044034916907548904,logistic,,,3.810455560684204,0.0,,,-2.1080617904663086,,,6.4702911376953125,0.4582706689834595
0,0.5148035287857056,1.7470372915267944,0.48403212428092957,-0.3683312237262726,0.07898467779159546,0.10239006578922272,bayesian_original,1.0,[0.7698092460632324],1.31326162815094,0.1,,,,,,,
0,0.5148808360099792,1.7472996711730957,0.4835221469402313,-0.36838653683662415,0.07897156476974487,0.10237307101488113,bayesian_sampling,1.0,,1.31326162815094,0.1,0.7707191705703735,0.38535958528518677,,,,,
0,0.5148742198944092,1.7472772598266602,0.48356103897094727,-0.3683817982673645,0.0789719745516777,0.10237360000610352,bayesian_scoring,1.0,,1.332756757736206,0.1,0.7706444263458252,0.3853222131729126,,,,,
0,0.5167056322097778,1.7534923553466797,0.4817339777946472,-0.3696921467781067,0.08050783723592758,0.10436458140611649,power,,,-1.4299646615982056,0.1,,,5.6966094970703125,1.944628357887268,,,
0,0.51662278175354,1.7532111406326294,0.4815441370010376,-0.36963286995887756,0.08039407432079315,0.10421710461378098,bounded,,,0.24016991257667542,0.1,,,9.21097183227539,2.698063611984253,0.6300833225250244,,
0,0.5163905024528503,1.7524229288101196,0.4810805320739746,-0.3694666624069214,0.08008205145597458,0.10381262004375458,logistic,,,2.633159875869751,0.1,,,-1.4170680046081543,,,3.7589399814605713,0.556246817111969
0,0.34401074051856995,0.5755398273468018,0.2932238280773163,-0.6077150702476501,0.07921116054058075,0.1405053734779358,bayesian_original,1.0,[0.5882864594459534],1.31326162815094,0.25,,,,,,,
0,0.3443353474140167,0.5760828852653503,0.2939559817314148,-0.6082885265350342,0.07951571047306061,0.14104558527469635,bayesian_sampling,1.0,,1.31326162815094,0.25,0.5892548561096191,0.29462742805480957,,,,,
0,0.3441353440284729,0.5757482647895813,0.29350271821022034,-0.6079351902008057,0.07932738214731216,0.14071151614189148,bayesian_scoring,1.0,,1.2575039863586426,0.25,0.58865886926651,0.294329434633255,,,,,
0,0.3508320450782776,0.5869520306587219,0.31103867292404175,-0.6197653412818909,0.0861504003405571,0.15281423926353455,power,,,-0.6908336281776428,0.25,,,5.70781135559082,1.7210835218429565,,,
0,0.35057589411735535,0.5865234732627869,0.3103245496749878,-0.6193128228187561,0.08588431775569916,0.15234225988388062,bounded,,,0.502403199672699,0.25,,,7.045650482177734,2.414666175842285,0.791957437992096,,
